WL,Data,Data,data
365.73,0,0,0
365.91,3,11,7
366.09,6,12,10
366.28,5,15,13
366.46,8,11,18
366.64,12,15,8
366.83,13,8,9
367.01,8,9,12
367.19,7,12,14
367.38,5,10,14
367.56,8,7,13
367.74,14,6,7
367.93,4,14,8
368.11,5,9,7
368.29,7,9,8
368.47,7,10,8
368.66,10,9,10
368.84,12,9,10
369.02,11,5,14
369.21,10,7,10
369.39,13,9,14
369.57,6,10,12
369.76,11,6,7
369.94,8,6,8
370.12,4,14,10
370.3,12,13,8
370.49,8,5,5
370.67,12,12,11
370.85,10,12,10
371.04,10,12,10
371.22,10,10,11
371.4,8,11,8
371.58,13,12,2
371.77,5,12,5
371.95,14,8,11
372.13,15,10,10
372.31,9,12,16
372.5,7,11,12
372.68,4,6,11
372.86,9,12,15
373.04,12,17,8
373.23,11,10,16
373.41,11,12,8
373.59,2,3,7
373.77,14,7,7
373.96,10,17,12
374.14,7,9,10
374.32,14,6,7
374.5,8,11,9
374.68,11,13,9
374.87,11,10,6
375.05,7,13,5
375.23,7,10,6
375.41,14,15,10
375.6,7,13,10
375.78,10,9,13
375.96,6,11,7
376.14,13,15,13
376.32,6,12,11
376.5,10,11,18
376.69,11,17,12
376.87,7,19,14
377.05,4,12,13
377.23,9,10,11
377.41,13,11,12
377.6,9,13,8
377.78,4,14,8
377.96,6,7,11
378.14,11,10,7
378.32,11,18,9
378.5,7,10,10
378.69,21,23,20
378.87,12,8,6
379.05,8,11,8
379.23,7,15,2
379.41,10,7,10
379.59,11,10,10
379.77,9,5,15
379.96,13,13,10
380.14,12,14,15
380.32,7,9,8
380.5,11,12,15
380.68,7,11,4
380.86,9,9,11
381.04,11,15,10
381.22,9,12,12
381.41,12,8,7
381.59,7,9,10
381.77,11,10,5
381.95,7,7,16
382.13,7,10,10
382.31,12,12,14
382.49,10,12,9
382.67,14,11,11
382.85,7,7,9
383.03,9,10,13
383.22,10,13,11
383.4,5,16,14
383.58,25,20,18
383.76,8,9,13
383.94,12,17,6
384.12,6,10,9
384.3,12,12,5
384.48,13,10,8
384.66,10,10,13
384.84,11,7,12
385.02,9,12,4
385.2,7,14,9
385.38,7,14,6
385.56,2,9,16
385.74,9,14,9
385.92,11,10,4
386.11,4,10,8
386.29,10,6,6
386.47,7,9,6
386.65,6,9,10
386.83,11,13,23
387.01,11,11,11
387.19,14,12,11
387.37,7,11,8
387.55,10,15,13
387.73,9,12,7
387.91,9,4,4
388.09,15,12,9
388.27,7,17,12
388.45,10,13,8
388.63,8,12,11
388.81,10,8,15
388.99,4,17,9
389.17,2,11,7
389.35,12,12,10
389.53,10,11,10
389.71,14,8,10
389.89,15,22,11
390.07,10,11,16
390.25,11,11,6
390.43,10,12,10
390.6,8,10,6
390.78,1,11,4
390.96,10,13,14
391.14,10,10,16
391.32,12,11,10
391.5,9,15,9
391.68,7,5,9
391.86,6,9,11
392.04,10,15,8
392.22,16,19,7
392.4,10,10,6
392.58,9,13,6
392.76,6,6,12
392.94,8,5,8
393.12,11,14,6
393.3,7,9,10
393.47,5,9,8
393.65,5,8,9
393.83,8,21,7
394.01,8,12,12
394.19,8,10,8
394.37,8,12,10
394.55,13,6,9
394.73,9,15,12
394.91,16,12,9
395.09,11,12,16
395.26,12,13,8
395.44,9,10,10
395.62,10,11,13
395.8,13,6,10
395.98,13,9,5
396.16,9,12,10
396.34,14,12,10
396.52,4,9,13
396.69,13,8,10
396.87,12,11,11
397.05,1,14,8
397.23,9,5,13
397.41,6,11,13
397.59,7,6,8
397.76,10,12,10
397.94,15,8,12
398.12,10,14,5
398.3,4,14,7
398.48,7,11,13
398.66,7,15,7
398.83,13,9,14
399.01,5,11,9
399.19,10,13,7
399.37,14,13,11
399.55,6,15,17
399.73,8,19,15
399.9,12,9,13
400.08,9,7,12
400.26,14,7,11
400.44,6,9,14
400.61,13,12,9
400.79,9,13,10
400.97,10,9,5
401.15,11,8,7
401.33,12,17,13
401.5,9,10,14
401.68,5,10,12
401.86,3,15,10
402.04,12,13,15
402.21,8,8,7
402.39,6,9,7
402.57,5,10,11
402.75,11,8,11
402.92,13,9,5
403.1,9,2,12
403.28,5,9,13
403.46,6,17,11
403.63,9,16,16
403.81,12,10,5
403.99,12,13,10
404.17,17,22,23
404.34,14,9,19
404.52,8,13,14
404.7,14,10,10
404.87,9,15,11
405.05,6,13,11
405.23,7,12,10
405.41,7,11,7
405.58,5,9,7
405.76,12,8,8
405.94,4,11,6
406.11,10,12,10
406.29,2,13,7
406.47,16,16,14
406.64,8,7,12
406.82,9,11,7
407,9,16,13
407.17,9,15,10
407.35,4,16,8
407.53,6,15,10
407.7,11,5,10
407.88,8,5,12
408.06,0,14,7
408.23,9,14,8
408.41,14,12,10
408.59,9,17,5
408.76,4,11,11
408.94,8,9,7
409.12,8,11,9
409.29,10,13,13
409.47,6,16,11
409.64,8,12,13
409.82,12,12,9
410,11,13,16
410.17,13,13,16
410.35,13,10,14
410.52,7,11,11
410.7,12,14,14
410.88,6,13,11
411.05,4,14,17
411.23,11,16,8
411.4,10,10,11
411.58,10,9,5
411.76,9,5,8
411.93,7,10,13
412.11,8,14,5
412.28,7,7,6
412.46,4,14,8
412.63,8,11,9
412.81,9,10,13
412.99,7,9,10
413.16,10,10,10
413.34,12,18,2
413.51,11,9,10
413.69,5,5,11
413.86,5,12,5
414.04,13,16,16
414.21,8,9,15
414.39,12,11,15
414.56,9,9,10
414.74,8,10,16
414.92,14,9,10
415.09,8,9,14
415.27,11,7,12
415.44,16,15,11
415.62,11,15,25
415.79,9,14,16
415.97,11,14,15
416.14,8,12,12
416.32,6,12,11
416.49,12,16,10
416.67,8,10,10
416.84,10,14,11
417.01,9,4,10
417.19,10,10,7
417.36,12,8,6
417.54,8,9,2
417.71,9,9,10
417.89,11,10,18
418.06,11,11,9
418.24,12,16,5
418.41,15,14,8
418.59,14,15,5
418.76,9,13,10
418.94,11,16,16
419.11,12,8,15
419.28,12,15,10
419.46,13,17,9
419.63,13,16,9
419.81,20,14,16
419.98,9,12,16
420.16,14,10,10
420.33,3,12,14
420.5,13,14,19
420.68,16,6,8
420.85,11,8,12
421.03,5,13,8
421.2,5,2,14
421.37,7,14,11
421.55,7,11,14
421.72,10,13,9
421.9,8,16,11
422.07,10,11,16
422.24,9,11,10
422.42,12,13,16
422.59,11,9,4
422.76,11,6,7
422.94,7,13,15
423.11,4,14,6
423.28,10,13,8
423.46,4,4,12
423.63,6,12,17
423.8,12,15,14
423.98,14,11,6
424.15,11,8,11
424.32,8,11,13
424.5,6,12,15
424.67,17,15,19
424.84,9,8,8
425.02,13,12,11
425.19,15,13,12
425.36,16,14,10
425.54,12,12,8
425.71,13,9,6
425.88,11,12,14
426.06,15,13,4
426.23,11,12,12
426.4,14,12,17
426.57,4,14,10
426.75,14,15,13
426.92,7,14,18
427.09,12,14,15
427.27,10,10,11
427.44,13,12,6
427.61,10,9,13
427.78,12,4,8
427.96,9,11,11
428.13,12,11,11
428.3,10,17,10
428.47,12,12,9
428.65,7,6,8
428.82,11,4,14
428.99,6,7,12
429.16,13,12,8
429.34,8,12,11
429.51,12,11,11
429.68,13,12,14
429.85,12,12,12
430.02,9,10,8
430.2,10,9,7
430.37,14,11,8
430.54,11,15,11
430.71,14,15,8
430.88,9,8,15
431.06,8,13,11
431.23,14,12,11
431.4,13,14,8
431.57,8,9,10
431.74,12,12,14
431.92,1,8,10
432.09,13,10,9
432.26,11,13,12
432.43,11,8,12
432.6,16,9,11
432.77,12,11,11
432.94,9,9,10
433.12,4,18,15
433.29,9,8,11
433.46,16,18,17
433.63,17,16,11
433.8,11,7,8
433.97,8,14,7
434.14,7,9,10
434.32,11,20,13
434.49,10,15,12
434.66,15,7,12
434.83,12,13,10
435,13,15,12
435.17,30,21,22
435.34,77,68,72
435.51,78,86,93
435.68,41,43,45
435.85,25,25,20
436.03,20,13,13
436.2,12,6,11
436.37,12,10,10
436.54,15,14,12
436.71,13,16,16
436.88,11,10,11
437.05,11,11,11
437.22,11,11,8
437.39,10,12,4
437.56,11,10,11
437.73,13,9,17
437.9,6,14,10
438.07,8,14,10
438.24,17,18,14
438.41,9,13,5
438.58,10,12,11
438.75,12,16,3
438.92,9,8,9
439.09,11,12,15
439.26,8,10,14
439.43,12,8,17
439.6,10,15,15
439.77,10,11,12
439.94,14,8,0
440.11,7,11,7
440.28,11,12,8
440.45,12,16,10
440.62,13,14,10
440.79,9,14,12
440.96,7,16,14
441.13,9,9,10
441.3,10,5,11
441.47,13,5,9
441.64,10,12,5
441.81,13,16,11
441.98,9,14,15
442.15,9,10,20
442.32,16,17,16
442.49,12,15,6
442.66,5,10,10
442.83,10,14,15
443,12,10,12
443.17,10,17,11
443.33,8,10,10
443.5,5,8,16
443.67,9,15,7
443.84,5,14,10
444.01,11,10,14
444.18,16,12,10
444.35,13,12,12
444.52,6,13,10
444.69,11,5,10
444.86,6,13,18
445.02,10,11,8
445.19,9,13,11
445.36,9,11,7
445.53,9,9,9
445.7,11,12,11
445.87,13,15,17
446.04,8,12,9
446.2,7,6,14
446.37,7,8,15
446.54,7,7,10
446.71,13,17,7
446.88,10,13,14
447.05,12,9,11
447.21,7,10,17
447.38,13,15,12
447.55,11,8,7
447.72,10,10,12
447.89,12,16,8
448.06,1,9,15
448.22,8,13,8
448.39,9,14,10
448.56,14,9,17
448.73,9,10,17
448.9,14,11,9
449.06,14,17,7
449.23,11,19,8
449.4,8,17,8
449.57,7,14,10
449.73,9,14,11
449.9,11,7,7
450.07,11,18,14
450.24,13,15,8
450.4,15,6,17
450.57,12,15,10
450.74,11,10,9
450.91,10,16,9
451.07,14,8,9
451.24,7,10,11
451.41,11,13,12
451.58,12,12,10
451.74,14,11,15
451.91,14,11,7
452.08,12,12,17
452.24,12,17,10
452.41,13,10,0
452.58,6,16,11
452.75,11,13,10
452.91,9,8,8
453.08,13,6,12
453.25,5,9,12
453.41,14,13,13
453.58,14,14,19
453.75,3,10,17
453.91,11,11,10
454.08,12,11,7
454.25,14,20,11
454.41,14,16,11
454.58,11,13,14
454.75,6,11,11
454.91,6,8,9
455.08,8,13,12
455.25,10,13,6
455.41,8,10,14
455.58,12,11,10
455.74,17,12,15
455.91,8,12,8
456.08,9,13,4
456.24,11,20,14
456.41,12,10,8
456.57,8,14,18
456.74,6,9,13
456.91,13,12,9
457.07,14,15,13
457.24,10,17,12
457.4,8,13,15
457.57,12,14,6
457.74,12,10,6
457.9,10,14,13
458.07,16,9,13
458.23,6,10,11
458.4,6,15,10
458.56,11,13,12
458.73,10,8,15
458.89,6,16,10
459.06,14,12,9
459.22,10,14,8
459.39,11,10,8
459.56,7,11,12
459.72,4,15,9
459.89,10,20,12
460.05,7,18,11
460.22,16,14,9
460.38,9,11,12
460.55,8,17,14
460.71,0,10,9
460.88,14,16,11
461.04,13,11,13
461.21,7,14,12
461.37,9,9,17
461.54,6,8,15
461.7,14,13,11
461.86,8,17,10
462.03,12,12,14
462.19,13,15,13
462.36,11,13,8
462.52,10,15,5
462.69,8,10,13
462.85,9,17,6
463.02,5,16,10
463.18,10,11,11
463.35,13,16,11
463.51,1,6,17
463.67,14,11,14
463.84,7,15,7
464,11,16,10
464.17,9,13,6
464.33,12,18,14
464.49,10,11,13
464.66,10,9,11
464.82,8,5,10
464.99,5,16,9
465.15,10,11,7
465.31,8,18,13
465.48,15,15,10
465.64,15,18,11
465.8,5,8,14
465.97,10,13,14
466.13,10,18,12
466.3,13,11,7
466.46,6,16,10
466.62,14,17,14
466.79,9,13,7
466.95,5,13,14
467.11,14,13,13
467.28,9,12,11
467.44,10,13,12
467.6,11,9,13
467.77,12,11,8
467.93,11,6,10
468.09,6,10,12
468.25,11,7,13
468.42,10,5,10
468.58,5,10,13
468.74,10,14,12
468.91,11,12,9
469.07,10,15,10
469.23,5,8,13
469.39,10,11,11
469.56,10,11,11
469.72,11,10,9
469.88,8,9,12
470.05,2,14,20
470.21,8,12,12
470.37,12,8,8
470.53,10,15,7
470.69,3,10,11
470.86,8,14,14
471.02,9,11,10
471.18,9,14,11
471.34,12,14,14
471.51,10,10,6
471.67,7,15,14
471.83,4,10,9
471.99,9,14,6
472.15,6,7,12
472.32,11,12,17
472.48,13,15,12
472.64,12,9,9
472.8,14,6,16
472.96,5,6,11
473.13,8,8,11
473.29,8,13,9
473.45,10,11,4
473.61,15,11,9
473.77,15,14,18
473.93,8,7,14
474.09,4,5,14
474.26,13,16,11
474.42,17,7,11
474.58,3,8,13
474.74,8,19,10
474.9,10,16,8
475.06,6,10,8
475.22,9,10,13
475.38,14,8,7
475.55,8,16,15
475.71,10,12,1
475.87,13,14,11
476.03,8,11,11
476.19,10,12,10
476.35,11,11,14
476.51,11,13,11
476.67,11,12,17
476.83,14,13,13
476.99,10,11,12
477.15,14,11,13
477.31,10,11,14
477.47,15,11,6
477.64,9,11,9
477.8,10,14,17
477.96,7,11,9
478.12,16,13,10
478.28,4,14,11
478.44,13,13,11
478.6,14,9,7
478.76,5,13,14
478.92,10,13,10
479.08,8,11,10
479.24,11,13,13
479.4,9,21,15
479.56,10,15,6
479.72,16,8,13
479.88,9,16,14
480.04,15,11,7
480.2,9,19,11
480.36,14,9,13
480.52,13,8,11
480.68,12,17,12
480.84,11,9,14
480.99,15,12,12
481.15,7,11,12
481.31,17,17,15
481.47,16,18,13
481.63,12,17,8
481.79,7,14,16
481.95,8,13,19
482.11,16,15,13
482.27,10,14,15
482.43,13,12,17
482.59,7,17,12
482.75,13,15,12
482.91,12,12,12
483.06,14,21,9
483.22,9,11,13
483.38,21,16,16
483.54,16,19,13
483.7,18,12,14
483.86,18,21,20
484.02,11,13,14
484.18,17,17,15
484.33,17,20,16
484.49,13,17,19
484.65,36,38,40
484.81,15,19,22
484.97,13,25,15
485.13,21,28,23
485.28,21,22,16
485.44,14,15,17
485.6,15,20,18
485.76,21,22,18
485.92,12,17,19
486.08,17,17,23
486.23,15,22,23
486.39,21,21,17
486.55,17,22,18
486.71,19,15,17
486.87,19,17,20
487.02,18,19,19
487.18,15,22,19
487.34,18,20,9
487.5,20,19,18
487.65,13,21,27
487.81,16,21,23
487.97,22,25,22
488.13,21,17,18
488.28,19,22,20
488.44,21,23,15
488.6,20,17,13
488.76,15,18,16
488.91,16,23,12
489.07,14,19,14
489.23,13,18,11
489.38,16,13,19
489.54,15,17,19
489.7,13,20,9
489.85,22,18,17
490.01,15,21,12
490.17,13,17,18
490.33,13,19,18
490.48,23,26,20
490.64,25,23,17
490.8,18,19,17
490.95,20,13,17
491.11,17,13,17
491.27,19,13,21
491.42,16,12,15
491.58,19,19,19
491.73,15,10,16
491.89,17,17,16
492.05,18,18,18
492.2,14,19,15
492.36,17,19,12
492.52,15,16,14
492.67,21,24,20
492.83,15,20,13
492.98,17,18,16
493.14,8,17,14
493.3,16,22,20
493.45,10,15,23
493.61,8,19,16
493.76,22,16,15
493.92,13,19,13
494.07,14,12,18
494.23,14,14,9
494.39,11,13,17
494.54,14,16,12
494.7,16,19,22
494.85,14,13,16
495.01,9,15,16
495.16,10,16,13
495.32,7,20,10
495.47,10,12,13
495.63,12,11,13
495.78,11,13,20
495.94,13,18,14
496.09,17,12,14
496.25,8,16,13
496.4,18,10,15
496.56,14,17,14
496.71,10,13,7
496.87,12,17,7
497.02,12,13,17
497.18,11,14,11
497.33,11,11,15
497.49,11,6,19
497.64,12,12,12
497.8,10,17,17
497.95,9,8,9
498.1,9,10,13
498.26,15,9,13
498.41,8,15,8
498.57,9,13,14
498.72,7,9,12
498.88,10,14,16
499.03,7,13,8
499.18,18,26,15
499.34,11,10,14
499.49,11,10,15
499.65,5,11,21
499.8,7,17,8
499.95,14,14,11
500.11,12,15,1
500.26,15,14,12
500.42,8,13,13
500.57,7,15,11
500.72,8,11,8
500.88,12,13,7
501.03,9,12,14
501.18,10,7,13
501.34,10,10,11
501.49,10,14,6
501.64,13,15,7
501.8,15,13,10
501.95,7,11,8
502.1,15,10,12
502.26,11,11,11
502.41,7,15,7
502.56,6,17,14
502.71,10,10,4
502.87,7,11,16
503.02,8,14,9
503.17,14,13,10
503.33,10,11,8
503.48,12,16,15
503.63,9,12,15
503.78,12,9,12
503.94,12,13,13
504.09,8,13,16
504.24,11,17,12
504.39,10,11,12
504.55,9,8,15
504.7,16,6,17
504.85,7,8,10
505,5,14,12
505.15,10,13,15
505.31,13,12,7
505.46,8,12,9
505.61,14,12,8
505.76,13,13,16
505.91,11,15,13
506.07,9,10,8
506.22,17,11,14
506.37,14,9,13
506.52,10,7,13
506.67,14,15,18
506.83,12,14,13
506.98,11,7,12
507.13,6,14,12
507.28,13,15,16
507.43,6,12,11
507.58,11,14,7
507.73,7,12,16
507.88,12,8,16
508.04,6,16,15
508.19,12,12,7
508.34,15,13,14
508.49,16,14,15
508.64,12,11,13
508.79,12,14,14
508.94,8,10,12
509.09,12,15,8
509.24,14,7,16
509.39,9,8,10
509.55,8,16,13
509.7,6,10,11
509.85,10,11,8
510,8,10,12
510.15,4,3,9
510.3,11,3,7
510.45,3,9,8
510.6,16,12,16
510.75,8,13,13
510.9,15,11,8
511.05,8,11,7
511.2,20,15,17
511.35,10,11,7
511.5,10,12,11
511.65,7,8,8
511.8,5,16,13
511.95,8,11,11
512.1,5,2,14
512.25,16,7,8
512.4,7,13,6
512.55,6,9,9
512.7,10,8,14
512.85,4,4,11
513,8,12,9
513.15,18,18,11
513.3,15,11,13
513.45,15,14,19
513.59,11,12,12
513.74,8,8,10
513.89,14,7,8
514.04,8,14,10
514.19,8,13,13
514.34,12,10,11
514.49,10,12,10
514.64,14,10,7
514.79,10,10,15
514.94,7,10,12
515.09,12,6,7
515.23,17,19,9
515.38,13,16,8
515.53,12,7,7
515.68,9,10,9
515.83,13,15,11
515.98,9,13,11
516.13,5,11,10
516.27,6,10,9
516.42,10,14,13
516.57,4,15,12
516.72,9,9,11
516.87,6,11,10
517.01,14,14,12
517.16,11,10,9
517.31,17,9,10
517.46,10,19,21
517.61,13,12,14
517.75,4,10,14
517.9,7,15,7
518.05,8,11,10
518.2,17,18,18
518.35,12,11,10
518.49,9,9,10
518.64,11,12,0
518.79,13,13,14
518.94,11,14,15
519.08,8,12,9
519.23,16,16,11
519.38,10,6,7
519.52,9,15,7
519.67,8,15,7
519.82,10,10,11
519.97,13,16,14
520.11,11,12,10
520.26,8,11,9
520.41,8,10,9
520.55,6,10,12
520.7,13,11,12
520.85,12,11,15
520.99,7,13,9
521.14,10,12,9
521.29,14,13,13
521.43,11,15,5
521.58,8,8,12
521.73,11,14,17
521.87,14,15,6
522.02,9,7,10
522.17,9,12,4
522.31,12,9,14
522.46,5,12,12
522.6,11,9,7
522.75,10,14,11
522.9,8,10,8
523.04,5,10,7
523.19,15,8,9
523.33,15,12,7
523.48,8,18,15
523.63,10,11,11
523.77,6,17,18
523.92,7,16,5
524.06,12,8,15
524.21,8,11,12
524.35,6,11,6
524.5,4,9,10
524.64,3,14,11
524.79,12,10,7
524.94,9,9,13
525.08,16,11,12
525.23,12,12,10
525.37,13,14,7
525.52,7,8,12
525.66,2,12,7
525.81,9,15,14
525.95,12,12,16
526.1,9,9,16
526.24,12,8,9
526.39,10,12,8
526.53,11,10,12
526.67,9,10,12
526.82,10,8,15
526.96,2,11,8
527.11,6,12,11
527.25,13,12,11
527.4,7,13,9
527.54,10,14,11
527.69,6,10,5
527.83,11,13,7
527.97,13,11,5
